url,post,title,isAvailable,isLocked,feiMao,unZip,tid,fid,formhash
https://live.acgyouxi.xyz/thread-385-1-1.html,385,,True,False,,,,50,33a64def
https://live.acgyouxi.xyz/thread-383-1-1.html,383,【ADV】[Miel] 最强的孕育骑士团~再强雌性也无法战胜我的大雕！【新作/全CV】【900M】,True,True,,,383,36,33a64def
https://live.acgyouxi.xyz/thread-384-1-1.html,384,,-1,False,,,,,33a64def
https://live.acgyouxi.xyz/thread-170-1-1.html,170,【欧美RPG/汉化/动态CG】乱lun之旅 Incest Journey  Ver 0.3汉化版（完整版）【PC+安卓版】【1.36G】,True,True,,,170,36,33a64def
https://live.acgyouxi.xyz/thread-167-1-1.html,167,【2D全彩】High交  三女X中年教師 【77MB】,True,True,,,167,37,33a64def
https://live.acgyouxi.xyz/thread-393-1-1.html,393,,-1,False,,,,,33a64def
https://live.acgyouxi.xyz/thread-386-1-1.html,386,,True,False,,,,50,33a64def
https://live.acgyouxi.xyz/thread-382-1-1.html,382,【SLG/动态】FGO同人：和清姬的监禁日常~清姫ちゃん監禁した【新作/全CV】【300M】,True,True,,,382,36,33a64def
https://live.acgyouxi.xyz/thread-388-1-1.html,388,【欧美3D/步兵】虚拟的VR乐趣-涅瓦 （超精细/高科技）【高清版】【653M】,True,True,,,388,45,33a64def
https://live.acgyouxi.xyz/thread-166-1-1.html,166,【3D全彩/无修】The Bang1-2 【33MB】,True,True,,,166,37,33a64def
https://live.acgyouxi.xyz/thread-168-1-1.html,168,【ADV/汉化/动态CG】大地侠！HAZEMAN -THE LOCAL HERO 汉化版+存档【PC+安卓版】【5G】,True,True,,,168,36,33a64def
https://live.acgyouxi.xyz/thread-402-1-1.html,402,【2D全彩】jing子交给辣·妹姐姐吧【55MB】,True,True,,,402,37,33a64def
https://live.acgyouxi.xyz/thread-184-1-1.html,184,【3D/中文/全动态】3D定制女仆2.5 COM3D Ver1.24 汉化整合版【4K画质/新作】【32G】,True,True,,,184,36,33a64def
https://live.acgyouxi.xyz/thread-390-1-1.html,390,【3D全彩/无修】The Foxxx- A Mother's Task(母亲的任务)+其`他【30MB】,True,True,,,390,37,33a64def
https://live.acgyouxi.xyz/thread-405-1-1.html,405,【欧美SLG/汉化/动态CG】（繁星汉化组版本）动人心弦的旋律 Melody V0.7 汉化版【PC+安卓】【更新】【5.6G】,True,True,,,405,36,33a64def
https://live.acgyouxi.xyz/thread-179-1-1.html,179,【欧美RPG/汉化/动态CG】僵尸生活2：僵尸的撤退 V0.52 汉化修复版【PC+安卓版】【1.5G】,True,True,,,179,36,33a64def
https://live.acgyouxi.xyz/thread-185-1-1.html,185,【欧美网游/中文】骚O传奇！PUSSY SAGA V1.34 步兵汉化版【PC+安卓】【更新】【500M】,True,True,,,185,36,33a64def
https://live.acgyouxi.xyz/thread-171-1-1.html,171,【欧美ADV/汉化/动态CG】自由自在的家庭 Freeloading Family-V0.15汉化版【更新】【700M】,True,True,,,171,36,33a64def
https://live.acgyouxi.xyz/thread-181-1-1.html,181,【收藏/合集/动态CG】超过3G的实用GIF动漫绅士动图合集+赠品【春节礼包系列】【5.4G】,True,True,,,181,37,33a64def
https://live.acgyouxi.xyz/thread-172-1-1.html,172,【3D/欧美养成/中文/全动态】榨取 Rack 2 V0.2.7 官方中文版 UNITY【新作】【650M】,True,True,,,172,36,33a64def
https://live.acgyouxi.xyz/thread-400-1-1.html,400,【3D全彩/无修】活~蒸赵雨璐 01-03[完整版]（lie奇）【129MB】,True,True,,,400,37,33a64def
